,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
216,Kimi ni Todoke: From Me to You,"Comedy, Drama, Romance, Slice of Life",Production I.G,25,2009-10-01,Tv,79.0,AniList,2009.0
217,The Rising of the Shield Hero Season 2,"Action, Adventure, Fantasy",Kinema Citrus,13,2022-04-01,Tv,64.0,AniList,2022.0
218,Masamune-kun's Revenge,"Comedy, Romance, Slice of Life",SILVER LINK.,12,2017-01-01,Tv,65.0,AniList,2017.0
219,Food Wars! The Third Plate,"Comedy, Ecchi",J.C.STAFF,12,2017-10-01,Tv,78.0,AniList,2017.0
220,Call of the Night,"Comedy, Psychological, Romance, Slice of Life, Supernatural",LIDENFILMS,13,2022-07-01,Tv,79.0,AniList,2022.0
221,Tokyo Ghoul:re 2,"Action, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2018-10-01,Tv,61.0,AniList,2018.0
223,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy",Aniplex,25,2012-10-01,Tv,78.0,AniList,2012.0
224,Classroom of the Elite Season 2,"Drama, Mystery, Psychological",KADOKAWA,13,2022-07-01,Tv,79.0,AniList,2022.0
225,Monthly Girls' Nozaki-kun,"Comedy, Romance, Slice of Life",Doga Kobo,12,2014-07-01,Tv,77.0,AniList,2014.0
226,BOCCHI THE ROCK!,"Comedy, Music, Slice of Life",CloverWorks,12,2022-10-01,Tv,87.0,AniList,2022.0
227,Great Pretender,"Action, Comedy, Drama, Thriller",WIT STUDIO,23,2020-06-01,Ona,81.0,AniList,2020.0
228,Blood Blockade Battlefront,"Action, Comedy, Supernatural",bones,12,2015-04-01,Tv,74.0,AniList,2015.0
229,Boruto: Naruto Next Generations,"Action, Adventure, Fantasy",Studio Pierrot,293,2017-04-01,Tv,56.0,AniList,2017.0
230,The Apothecary Diaries,"Drama, Mystery",Toho,24,2023-10-01,Tv,88.0,AniList,2023.0
232,Solo Leveling Season 2 -Arise from the Shadow-,"Action, Adventure, Fantasy",Aniplex,13,2025-01-01,Tv,87.0,AniList,2025.0
233,Dragon Ball,"Action, Adventure, Comedy, Fantasy, Supernatural",Toei Animation,153,1986-02-01,Tv,78.0,AniList,1986.0
234,Clannad: After Story,"Drama, Romance, Slice of Life, Supernatural",Kyoto Animation,24,2008-10-01,Tv,87.0,AniList,2008.0
237,Kaiju No.8,"Action, Sci-Fi",Toho,12,2024-04-01,Tv,82.0,AniList,2024.0
238,Mushoku Tensei: Jobless Reincarnation Season 2,"Adventure, Drama, Ecchi, Fantasy",Studio Bind,13,2023-07-01,Tv,81.0,AniList,2023.0
239,Steins;Gate 0,"Drama, Psychological, Sci-Fi, Thriller",WHITE FOX,23,2018-04-01,Tv,84.0,AniList,2018.0
240,Domestic Girlfriend,"Drama, Ecchi, Romance",diomedéa,12,2019-01-01,Tv,64.0,AniList,2019.0
241,The Quintessential Quintuplets 2,"Comedy, Drama, Romance, Slice of Life",Bibury Animation Studios,12,2021-01-01,Tv,79.0,AniList,2021.0
242,Angels of Death,"Action, Adventure, Horror, Psychological, Thriller",J.C.STAFF,12,2018-07-01,Tv,67.0,AniList,2018.0
243,Sword Art Online: Alicization - War of Underworld,"Action, Adventure, Fantasy",A-1 Pictures,12,2019-10-01,Tv,75.0,AniList,2019.0
244,March comes in like a lion,"Drama, Slice of Life",Shaft,22,2016-10-01,Tv,83.0,AniList,2016.0
245,My Teen Romantic Comedy SNAFU Climax!,"Comedy, Drama, Romance, Slice of Life",feel.,12,2020-07-01,Tv,82.0,AniList,2020.0
247,Grand Blue Dreaming,"Comedy, Slice of Life, Sports",Zero-G,12,2018-07-01,Tv,82.0,AniList,2018.0
248,Zom 100: Bucket List of the Dead,"Action, Comedy, Horror, Supernatural",Shogakukan-Shueisha Productions,12,2023-07-01,Tv,77.0,AniList,2023.0
249,Arifureta: From Commonplace to World's Strongest,"Action, Adventure, Fantasy, Psychological",WHITE FOX,13,2019-07-01,Tv,65.0,AniList,2019.0
250,Ranking of Kings,"Action, Adventure, Drama, Fantasy",WIT STUDIO,23,2021-10-01,Tv,84.0,AniList,2021.0
251,given,"Drama, Music, Romance, Slice of Life",Lerche,11,2019-07-01,Tv,82.0,AniList,2019.0
252,Yona of the Dawn,"Action, Adventure, Comedy, Drama, Fantasy, Romance",Studio Pierrot,24,2014-10-01,Tv,79.0,AniList,2014.0
253,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,"Action, Adventure, Drama, Fantasy, Supernatural",ufotable,8,2024-05-01,Tv,80.0,AniList,2024.0
254,Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Toei Animation,131,2015-07-01,Tv,72.0,AniList,2015.0
255,Cells at Work!,"Action, Comedy, Sci-Fi",David Production,13,2018-07-01,Tv,74.0,AniList,2018.0
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Drama, Fantasy, Supernatural",ufotable,13,2015-04-01,Tv,82.0,AniList,2015.0
257,FLCL,"Action, Comedy, Mecha, Sci-Fi",Gainax,6,2000-04-01,Ova,78.0,AniList,2000.0
258,Summer Time Rendering,"Action, Drama, Mystery, Supernatural, Thriller",OLM,25,2022-04-01,Tv,83.0,AniList,2022.0
259,Kiznaiver,"Drama, Romance, Sci-Fi",TRIGGER,12,2016-04-01,Tv,71.0,AniList,2016.0
260,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist,"Comedy, Ecchi",J.C.STAFF,12,2015-07-01,Tv,69.0,AniList,2015.0
261,The Seven Deadly Sins: Imperial Wrath of the Gods,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",Studio DEEN,24,2019-10-01,Tv,62.0,AniList,2019.0
262,SPY x FAMILY Season 2,"Action, Comedy, Slice of Life, Supernatural",WIT STUDIO,12,2023-10-01,Tv,81.0,AniList,2023.0
263,The Melancholy of Haruhi Suzumiya,"Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",Kyoto Animation,14,2006-04-01,Tv,76.0,AniList,2006.0
264,Black Bullet,"Action, Drama, Mystery, Sci-Fi",Kinema Citrus,13,2014-04-01,Tv,67.0,AniList,2014.0
265,How NOT to Summon a Demon Lord,"Comedy, Ecchi, Fantasy",Ajiado,12,2018-07-01,Tv,66.0,AniList,2018.0
266,Bungo Stray Dogs 3,"Action, Comedy, Mystery, Supernatural",bones,12,2019-04-01,Tv,81.0,AniList,2019.0
268,91 Days,"Action, Drama, Psychological",Shuka,12,2016-07-01,Tv,76.0,AniList,2016.0
269,The Case Study of Vanitas,"Drama, Fantasy, Mystery, Supernatural",bones,12,2021-07-01,Tv,78.0,AniList,2021.0
270,Lycoris Recoil,"Action, Slice of Life",A-1 Pictures,13,2022-07-01,Tv,81.0,AniList,2022.0
271,Tsuredure Children,"Comedy, Drama, Romance, Slice of Life",Studio Gokumi,12,2017-07-01,Tv Short,74.0,AniList,2017.0
272,Seraph of the End: Battle in Nagoya,"Action, Drama, Fantasy, Supernatural",WIT STUDIO,12,2015-10-01,Tv,74.0,AniList,2015.0
274,High School DxD NEW,"Action, Comedy, Ecchi, Fantasy, Romance",Funimation,12,2013-06-01,Tv,71.0,AniList,2013.0
275,Daily Lives of High School Boys,"Comedy, Slice of Life",Sunrise,12,2012-01-01,Tv,80.0,AniList,2012.0
276,Shikimori's Not Just a Cutie,"Comedy, Romance, Slice of Life",Doga Kobo,12,2022-04-01,Tv,68.0,AniList,2022.0
278,Baccano!,"Action, Mystery, Supernatural",Aniplex,13,2007-07-01,Tv,81.0,AniList,2007.0
279,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,12,2020-10-01,Tv,74.0,AniList,2020.0
